Ecosystem,Package Name,URL,Latest Version,Latest Version Updated,Source,Excluded,Criticality Score,Analysis Date,Results,CVE,Associated Project,Star_Count,Has YAML in Workflows,Has Dependabot
github,shadowsocks-windows,https://github.com/shadowsocks/shadowsocks-windows,,,criticality_score,,,,,,,57900,TRUE,FALSE
github,scikit-learn,https://github.com/scikit-learn/scikit-learn,,,criticality_score,,,,,,,57900,TRUE,FALSE
github,tesseract,https://github.com/tesseract-ocr/tesseract,,,criticality_score,,,,,,,57500,TRUE,FALSE
github,manim,https://github.com/3b1b/manim,,,criticality_score,,,,,,,57200,TRUE,FALSE
github,Java,https://github.com/TheAlgorithms/Java,,,criticality_score,,,,,,,56400,TRUE,TRUE
github,html5-boilerplate,https://github.com/h5bp/html5-boilerplate,,,criticality_score,,,,,,,55900,TRUE,TRUE
github,imgui,https://github.com/ocornut/imgui,,,criticality_score,,,,,,,55200,TRUE,FALSE
github,obs-studio,https://github.com/obsproject/obs-studio,,,criticality_score,,,,,,,55100,TRUE,FALSE
github,gatsby,https://github.com/gatsbyjs/gatsby,,,criticality_score,,,,,,,55000,TRUE,FALSE
github,spring-framework,https://github.com/spring-projects/spring-framework,,,criticality_score,,,,,,,54900,TRUE,FALSE
github,rails,https://github.com/rails/rails,,,criticality_score,,,,,,,54800,TRUE,FALSE
github,terminus,https://github.com/Eugeny/terminus,,,criticality_score,,,,,,,54600,TRUE,TRUE
github,element,https://github.com/ElemeFE/element,,,criticality_score,,,,,,,53900,TRUE,FALSE
github,leetcode,https://github.com/azl397985856/leetcode,,,criticality_score,,,,,,,53600,TRUE,FALSE
github,caddy,https://github.com/caddyserver/caddy,,,criticality_score,,,,,,,53200,TRUE,TRUE
github,docusaurus,https://github.com/facebook/docusaurus,,,criticality_score,,,,,,,52400,TRUE,TRUE
github,prometheus,https://github.com/prometheus/prometheus,,,criticality_score,,,,,,,52400,TRUE,TRUE
github,alacritty,https://github.com/alacritty/alacritty,,,criticality_score,,,,,,,52300,TRUE,FALSE
github,localstack,https://github.com/localstack/localstack,,,criticality_score,,,,,,,51800,TRUE,TRUE
github,react-router,https://github.com/ReactTraining/react-router,,,criticality_score,,,,,,,51800,TRUE,TRUE
github,nuxt.js,https://github.com/nuxt/nuxt.js,,,criticality_score,,,,,,,51500,TRUE,FALSE
github,requests,https://github.com/psf/requests,,,criticality_score,,,,,,,51200,TRUE,TRUE
github,Semantic-UI,https://github.com/Semantic-Org/Semantic-UI,,,criticality_score,,,,,,,51000,FALSE,FALSE
github,scrapy,https://github.com/scrapy/scrapy,,,criticality_score,,,,,,,50600,TRUE,FALSE
github,ionic-framework,https://github.com/ionic-team/ionic-framework,,,criticality_score,,,,,,,50300,TRUE,FALSE
github,guava,https://github.com/google/guava,,,criticality_score,,,,,,,49300,TRUE,TRUE
github,,https://github.com/git/git,,,250 most common github urls in cve database,,,,,,,49300,TRUE,FALSE
github,you-get,https://github.com/soimort/you-get,,,criticality_score,,,,,,,49100,TRUE,FALSE
github,bulma,https://github.com/jgthms/bulma,,,criticality_score,,,,,,,48500,TRUE,FALSE
github,rustlings,https://github.com/rust-lang/rustlings,,,criticality_score,,,,,,,48500,TRUE,FALSE
github,jekyll,https://github.com/jekyll/jekyll,,,criticality_score,,,,,,,48200,TRUE,TRUE
github,prettier,https://github.com/prettier/prettier,,,criticality_score,,,,,,,48000,TRUE,TRUE
github,tldr,https://github.com/tldr-pages/tldr,,,criticality_score,,,,,,,48000,TRUE,TRUE
github,moment,https://github.com/moment/moment,,,criticality_score,,,,,,,47800,TRUE,FALSE
github,RxJava,https://github.com/ReactiveX/RxJava,,,criticality_score,,,,,,,47600,TRUE,TRUE
github,,https://github.com/traefik/traefik,,,250 most common github urls in cve database,,,,,,,47500,TRUE,FALSE
github,kotlin,https://github.com/JetBrains/kotlin,,,criticality_score,,,,,,,47300,FALSE,FALSE
github,openpilot,https://github.com/commaai/openpilot,,,criticality_score,,,,,,,47200,TRUE,FALSE
github,DefinitelyTyped,https://github.com/DefinitelyTyped/DefinitelyTyped,,,criticality_score,,,,,,,46900,TRUE,TRUE
github,rich,https://github.com/willmcgugan/rich,,,criticality_score,,,,,,,46800,TRUE,TRUE
github,pi-hole,https://github.com/pi-hole/pi-hole,,,criticality_score,,,,,,,46500,TRUE,TRUE
github,yolov5,https://github.com/ultralytics/yolov5,,,criticality_score,,,,,,,46300,TRUE,TRUE
github,etcd,https://github.com/etcd-io/etcd,,,criticality_score,,,,,,,46100,TRUE,TRUE
github,bat,https://github.com/sharkdp/bat,,,criticality_score,,,,,,,46000,TRUE,TRUE
github,serverless,https://github.com/serverless/serverless,,,criticality_score,,,,,,,46000,TRUE,FALSE
github,cypress,https://github.com/cypress-io/cypress,,,criticality_score,,,,,,,46000,TRUE,FALSE
github,pdf.js,https://github.com/mozilla/pdf.js,,,criticality_score,,,,,,,45900,TRUE,TRUE
github,mastodon,https://github.com/tootsuite/mastodon,,,criticality_score,,,,,,,45700,TRUE,FALSE
github,dayjs,https://github.com/iamkun/dayjs,,,criticality_score,,,,,,,45600,TRUE,FALSE
github,,https://github.com/ethereum/go-ethereum,,,250 most common github urls in cve database,,,,,,,45600,TRUE,FALSE
github,Ghost,https://github.com/TryGhost/Ghost,,,criticality_score,,,,,,,45500,TRUE,FALSE
github,okhttp,https://github.com/square/okhttp,,,criticality_score,,,,,,,45200,TRUE,FALSE
github,lazygit,https://github.com/jesseduffield/lazygit,,,criticality_score,,,,,,,44800,TRUE,TRUE
github,v2ray-core,https://github.com/v2ray/v2ray-core,,,criticality_score,,,,,,,44600,TRUE,TRUE
github,ripgrep,https://github.com/BurntSushi/ripgrep,,,criticality_score,,,,,,,44400,TRUE,FALSE
github,julia,https://github.com/JuliaLang/julia,,,criticality_score,,,,,,,44400,TRUE,FALSE
github,vue-next,https://github.com/vuejs/vue-next,,,criticality_score,,,,,,,44200,TRUE,FALSE
github,,https://github.com/gogs/gogs,,,250 most common github urls in cve database,,,,,,,44000,TRUE,TRUE
github,meteor,https://github.com/meteor/meteor,,,criticality_score,,,,,,,44000,TRUE,TRUE
github,,https://github.com/minio/minio,,,250 most common github urls in cve database,,,,,,,43800,TRUE,FALSE
github,Magisk,https://github.com/topjohnwu/Magisk,,,criticality_score,,,,,,,43600,TRUE,FALSE
github,AdminLTE,https://github.com/ColorlibHQ/AdminLTE,,,criticality_score,,,,,,,43500,TRUE,TRUE
github,jest,https://github.com/facebook/jest,,,criticality_score,,,,,,,43500,TRUE,FALSE
github,rclone,https://github.com/rclone/rclone,,,criticality_score,,,,,,,43400,TRUE,TRUE
github,parcel,https://github.com/parcel-bundler/parcel,,,criticality_score,,,,,,,43100,TRUE,FALSE
github,PowerShell,https://github.com/PowerShell/PowerShell,,,criticality_score,,,,,,,43100,TRUE,TRUE
github,babel,https://github.com/babel/babel,,,criticality_score,,,,,,,42900,TRUE,FALSE
github,MeiliSearch,https://github.com/meilisearch/MeiliSearch,,,criticality_score,,,,,,,42800,TRUE,TRUE
github,uBlock,https://github.com/gorhill/uBlock,,,criticality_score,,,,,,,42700,TRUE,FALSE
github,retrofit,https://github.com/square/retrofit,,,criticality_score,,,,,,,42600,TRUE,FALSE
github,joplin,https://github.com/laurent22/joplin,,,criticality_score,,,,,,,42500,TRUE,FALSE
github,powerlevel10k,https://github.com/romkatv/powerlevel10k,,,criticality_score,,,,,,,42400,FALSE,FALSE
github,pixi.js,https://github.com/pixijs/pixi.js,,,criticality_score,,,,,,,42300,TRUE,FALSE
github,first-contributions,https://github.com/firstcontributions/first-contributions,,,criticality_score,,,,,,,42100,TRUE,FALSE
github,,https://github.com/FFmpeg/FFmpeg,,,250 most common github urls in cve database,,,,,,,41800,FALSE,FALSE
github,pandas,https://github.com/pandas-dev/pandas,,,criticality_score,,,,,,,41700,TRUE,TRUE
github,,https://github.com/go-gitea/gitea,,,250 most common github urls in cve database,,,,,,,41500,TRUE,FALSE
github,yarn,https://github.com/yarnpkg/yarn,,,criticality_score,,,,,,,41300,FALSE,FALSE
github,CppCoreGuidelines,https://github.com/isocpp/CppCoreGuidelines,,,criticality_score,,,,,,,41300,TRUE,FALSE
github,hiring-without-whiteboards,https://github.com/poteto/hiring-without-whiteboards,,,criticality_score,,,,,,,41200,TRUE,FALSE
github,terraform,https://github.com/hashicorp/terraform,,,criticality_score,,,,,,,41000,TRUE,FALSE
github,appwrite,https://github.com/appwrite/appwrite,,,criticality_score,,,,,,,40600,TRUE,FALSE
github,grpc,https://github.com/grpc/grpc,,,criticality_score,,,,,,,40600,TRUE,TRUE
github,pm2,https://github.com/Unitech/pm2,,,criticality_score,,,,,,,40500,TRUE,FALSE
github,Alamofire,https://github.com/Alamofire/Alamofire,,,criticality_score,,,,,,,40400,TRUE,FALSE
github,,https://github.com/discourse/discourse,,,250 most common github urls in cve database,,,,,,,40300,TRUE,TRUE
github,starship,https://github.com/starship/starship,,,criticality_score,,,,,,,40200,TRUE,FALSE
github,react-use,https://github.com/streamich/react-use,,,criticality_score,,,,,,,40100,TRUE,FALSE
github,nw.js,https://github.com/nwjs/nw.js,,,criticality_score,,,,,,,40100,FALSE,FALSE
github,styled-components,https://github.com/styled-components/styled-components,,,criticality_score,,,,,,,40000,TRUE,FALSE
github,n8n,https://github.com/n8n-io/n8n,,,criticality_score,,,,,,,39900,TRUE,FALSE
github,dubbo,https://github.com/apache/dubbo,,,criticality_score,,,,,,,39900,TRUE,FALSE
github,Leaflet,https://github.com/Leaflet/Leaflet,,,criticality_score,,,,,,,39800,TRUE,TRUE
github,json,https://github.com/nlohmann/json,,,criticality_score,,,,,,,39700,TRUE,FALSE
github,open-source-ios-apps,https://github.com/dkhamsing/open-source-ios-apps,,,criticality_score,,,,,,,39700,TRUE,TRUE
github,react-query,https://github.com/tannerlinsley/react-query,,,criticality_score,,,,,,,39400,TRUE,FALSE
github,react-hook-form,https://github.com/react-hook-form/react-hook-form,,,criticality_score,,,,,,,39300,TRUE,FALSE
github,uni-app,https://github.com/dcloudio/uni-app,,,criticality_score,,,,,,,39300,TRUE,FALSE
github,brew,https://github.com/Homebrew/brew,,,criticality_score,,,,,,,39100,TRUE,TRUE
github,vuetify,https://github.com/vuetifyjs/vuetify,,,criticality_score,,,,,,,38900,TRUE,FALSE
github,quill,https://github.com/quilljs/quill,,,criticality_score,,,,,,,38800,TRUE,FALSE
github,Rocket.Chat,https://github.com/RocketChat/Rocket.Chat,,,criticality_score,,,,,,,38700,TRUE,TRUE
